QW,y' U2 R' D2 R' U2 R D2 R' U2 R2 U2 y,"y' U2 R2 [R D2 R', U2] R2 U2 y"
QM,x' U R2 U' L U R2 U' L' x,"x' [U R2 U', L] x"
QN,D L' U L D' L' U' L,"[D, L' U L]"
QR,D L D' R2 D L' D' R2,"[D L D', R2]"
QS,x' L2 D' L' U2 L D L' U2 L' x,"x' L [L D' L', U2] L' x"
QT,D2 R U R' D R U' R' D,"D' [D', R U R'] D"
QX,y' U R2 U L' U' R2 U L U2 y,"y' U [R2, U L' U'] U' y"
QY,x R U' L2 U R' U' L2 U x',"x [R, U' L2 U] x'"
QZ,D2 R U R' D2 R U' R',"[D2, R U R']"
,,
T,Alg,C ABA'B' C'
TA,L D2 L' U L D2 L' U',"[L D2 L', U]"
TB,r L D' L' U2 L D L' U2 r',"r [L D' L', U2] r'"
TC,y' U L2 U' R' U L2 U' R y,"y' [U L2 U', R'] y"
TD,r' U' r' B2 r U r' B2 r2,"r2 [L F' L', B2] r2"
TE,x' U R2 U' L' U R2 U' r D',"D x' [U R2 U', L] x D'"
TF,y R U L U' R2 U L' U' R y',"y R [U L  U', R2] R' y'"
TG,y U L D' L' U' L D L' y',"y [U, L D' L'] y'"
TH,y R U L U' R' U L' U' y',"y [R, U L U'] y'"
TI,D' F R2 F' D F D' R2 D F',"F D' [D F' D' F, R2] D F'"
TW,x L D' L' U2 L D L' U2 x',"x [L D' L', U2] x'"
TM,R' U2 D R U' R' D' R U R' U2 R,"R' U2 [D, R U' R'] U2 R"
TN,D2 L' U L D2 L' U' L,"[D2, L' U L]"
TO,L' D2 L' U L D2 L' U' L2,"L' [D2, L' U L] L"
TP,x D' L' U2 L D L' U2 L x',"x [D', L' U2 L] x'"
TQ,D' R U R' D' R U' R' D2,"D' [R U R', D'] D"
TX,D' R2 D2 R' U' R D2 R' U' R' D,"D' R2 [D2, R' U' R] R2 D"
